Category,Name (English),Name (Deutsch)
Woodworking consumables,Dowel pin 6x30,Holzd체bel 6x30
Woodworking consumables,Dowel pin 8x40,Holzd체bel 8x40
Woodworking consumables,Wood plug 15x10,Holzzapfen 15x10
Woodworking consumables,Glass shelf pin 5,Glasbodentr채ger 5
Woodworking consumables,Flat shelf pin 5,Bodentr채ger 5
Woodworking consumables,Nails 2x24,Drahtstifte 2x24
Cables,Audio 4m,
Cables,Audio 4m,
Cables,Audio 4.5m,
Cables,Audio 7.5m,
Cables,Audio 7.5m,
Microelectronics,IRLML6401,
Microelectronics,IRLML6244,
Microelectronics,2N7002,